uri:/instrument/1.0/AAON/chartdata;type=quote;range=1d/csv,,,,,,
ticker:aaon,,,,,,
Company-Name:AAON, Inc.,,,,,
1431531786,22.585,22.585,22.57,22.57,300,
1431531843,22.6,22.6,22.6,22.6,1000,
1431532016,22.61,22.61,22.61,22.61,200,
1431532197,22.65,22.65,22.65,22.65,100,
1431532309,22.65,22.65,22.65,22.65,100,
1431532345,22.6,22.625,22.6,22.625,200,
1431532654,22.65,22.65,22.65,22.65,200,
1431532739,22.64,22.65,22.64,22.65,200,
1431532782,22.65,22.65,22.63,22.63,200,
1431532853,22.65,22.65,22.65,22.65,300,
1431533009,22.62,22.62,22.62,22.62,200,
1431533082,22.65,22.65,22.65,22.65,400,
1431533174,22.66,22.66,22.66,22.66,300,
1431533273,22.67,22.67,22.67,22.67,100,
1431533511,22.69,22.69,22.69,22.69,100,
1431533615,22.69,22.69,22.69,22.69,200,
1431533667,22.67,22.67,22.67,22.67,200,
1431533778,22.65,22.65,22.65,22.65,100,
1431533888,22.69,22.69,22.69,22.69,100,
1431533993,22.65,22.65,22.65,22.65,100,
1431534214,22.68,22.68,22.67,22.67,500,
1431534264,22.65,22.65,22.65,22.65,100,
1431534328,22.69,22.69,22.69,22.69,200,
1431534431,22.65,22.65,22.65,22.65,200,
1431534508,22.63,22.63,22.63,22.63,200,
1431534547,22.66,22.66,22.66,22.66,100,
1431534600,22.66,22.66,22.66,22.66,400,
1431534749,22.64,22.64,22.64,22.64,300,
1431534967,22.69,22.69,22.68,22.68,200,
1431535130,22.73,22.73,22.73,22.73,100,
1431535492,22.705,22.705,22.68,22.68,700,
1431535588,22.68,22.73,22.68,22.73,300,
1431535930,22.72,22.73,22.7,22.73,800,
1431536333,22.71,22.74,22.71,22.74,200,
1431536349,22.71,22.725,22.71,22.725,400,
1431536503,22.72,22.72,22.72,22.72,100,
1431536809,22.72,22.72,22.72,22.72,100,
1431536832,22.74,22.74,22.72,22.72,200,
1431536994,22.74,22.76,22.74,22.76,600,
1431537000,22.73,22.73,22.73,22.73,100,
1431537230,22.73,22.78,22.73,22.75,600,
1431537297,22.755,22.755,22.755,22.755,400,
1431537307,22.755,22.755,22.755,22.755,300,
1431537595,22.755,22.77,22.7405,22.7405,400,
1431537601,22.77,22.77,22.77,22.77,400,
1431537674,22.74,22.76,22.74,22.76,200,
1431537792,22.77,22.77,22.73,22.745,1200,
1431537899,22.79,22.79,22.7475,22.77,2600,
1431537930,22.8,22.86,22.79,22.8,4800,
1431538055,22.84,22.84,22.84,22.84,200,
1431538417,23.01,23.02,22.9,22.9,10600,
1431538499,23,23.02,23,23.02,700,
1431538517,22.99,23,22.96,22.96,800,
1431538661,23,23.01,22.98,22.98,2200,
1431538847,23.02,23.03,23.02,23.03,700,
1431539145,23.02,23.05,23.02,23.04,1500,
1431539213,23.03,23.03,23.02,23.02,200,
1431539269,23.06,23.07,23.03,23.03,1900,
1431539282,23.03,23.055,23.03,23.055,600,
1431539513,23.0175,23.0175,23.0175,23.0175,400,
1431539649,23.04,23.04,23.04,23.04,100,
1431539876,23.01,23.01,23.01,23.01,100,
1431539951,23.07,23.07,23.07,23.07,200,
1431540118,23.05,23.06,23.05,23.06,400,
1431540225,23.055,23.055,23.055,23.055,100,
1431540365,23.05,23.06,23.05,23.05,600,
1431540422,22.995,23.05,22.98,23.05,1000,
1431540579,22.96,22.99,22.96,22.99,200,
1431540600,23,23,23,23,100,
1431540752,23,23,23,23,100,
1431540885,23.005,23.005,23.005,23.005,100,
1431540942,23.05,23.05,23.02,23.02,2200,
1431540969,22.97,22.97,22.97,22.97,100,
1431541137,23.05,23.05,23.03,23.03,2400,
1431541154,23.05,23.05,23.05,23.05,300,
1431541390,23.05,23.05,23.05,23.05,400,
1431541488,23.05,23.05,23.05,23.05,100,
1431541551,23.05,23.05,23.05,23.05,1100,
1431541577,23.05,23.05,23.05,23.05,100,
1431541759,23.05,23.06,23.05,23.05,1700,
1431541808,23.01,23.01,23.01,23.01,100,
1431542020,23,23,23,23,100,
1431542151,23.05,23.05,23.03,23.05,800,
1431542161,23.06,23.06,23.06,23.06,300,
1431542222,23.09,23.09,23.07,23.07,500,
1431542816,23.09,23.1,23.09,23.1,600,
1431542913,23.1,23.1,23.1,23.1,100,
1431543029,23.1,23.1,23.1,23.1,300,
1431543063,23.1,23.1,23.09,23.09,300,
1431543170,23.1,23.1,23.1,23.1,200,
1431543192,23.1,23.1,23.1,23.1,300,
1431543299,23.1,23.1,23.1,23.1,100,
1431543305,23.1,23.1,23.1,23.1,700,
1431543419,23.1,23.1,23.07,23.1,700,
1431543443,23.07,23.07,23.07,23.07,100,
1431543555,23.1,23.1,23.1,23.1,200,
1431543608,23.1,23.1,23.1,23.1,100,
1431543721,23.13,23.14,23.1,23.1,2300,
1431543883,23.14,23.14,23.13,23.14,500,
1431543911,23.13,23.14,23.13,23.13,400,
1431544112,23.1106,23.14,23.1106,23.14,400,
1431544238,23.12,23.12,23.1,23.11,500,
1431544275,23.1,23.1,23.095,23.095,3200,
1431544425,23.09,23.09,23.09,23.09,100,
1431544534,23.1,23.1,23.09,23.09,700,
1431544610,23.1,23.1,23.07,23.1,6100,
1431544711,23.1,23.1,23.1,23.1,600,
1431544802,23.03,23.05,23.03,23.05,400,
1431544888,22.99,22.99,22.99,22.99,100,
1431545070,23.04,23.04,23.04,23.04,700,
1431545209,23.07,23.07,23.07,23.07,100,
1431545364,23.065,23.065,23.065,23.065,100,
1431545400,23.05,23.05,23.05,23.05,300,
1431545637,23.01,23.05,23.01,23.05,200,
1431545679,23.05,23.05,23.05,23.05,200,
1431545726,23.0385,23.0385,23.01,23.01,400,
1431545812,23.01,23.01,23.01,23.01,100,
1431545876,23.01,23.01,23.01,23.01,100,
1431545937,23.01,23.01,23.01,23.01,200,
1431545952,23,23.01,23,23.01,800,
1431546058,23.02,23.02,22.97,22.97,1000,
1431546110,22.99,22.995,22.98,22.98,300,
1431546186,23,23.01,23,23,500,
1431546249,23.01,23.01,23.01,23.01,1600,
1431546311,23.02,23.03,23.01,23.03,1100,
1431546517,23.02,23.035,23.01,23.035,900,
1431546589,23.03,23.03,23.015,23.03,400,
1431546652,23.09,23.1,23.03,23.03,11100,
1431546719,23.08,23.08,23.04,23.06,800,
1431546779,23.1,23.12,23.08,23.08,5300,
1431546837,23.12,23.12,23.1,23.1,1300,
1431546884,23.1,23.11,23.1,23.11,800,
1431546950,23.1,23.11,23.1,23.1,1200,
1431546962,23.1,23.11,23.1,23.1,1100,
1431547042,23.105,23.105,23.1,23.1,500,
1431547123,23.16,23.16,23.1,23.1,8600,
1431547145,23.15,23.15,23.15,23.15,100,
1431547199,23.21,23.21,23.01,23.14,11000,
1431547200,23.2,23.2,23.2,23.2,100,
